"y","Iobs","Cobs"
1975,NA,40019.6085319035
1976,NA,30231.2009560014
1977,NA,37562.4984898871
1978,NA,54445.102158597
1979,NA,36429.5020708798
1980,1.63110998138576,38456.0026081779
1981,1.58769881263382,38941.803369695
1982,NA,48473.6079955958
1983,NA,56214.7028036793
1984,1.42324825905534,51331.8984962227
1985,1.28212731047456,59068.2973489331
1986,NA,61339.9040702449
1987,NA,69239.3987978656
1988,1.52173910306409,80759.2010032233
1989,NA,77313.698234421
1990,1.11441667835572,79800.7947831283
1991,1.1303455163909,82646.3084750957
1992,NA,78680.8901883246
1993,1.16079701215594,109911.215908448
1994,1.34163955230254,117225.316382261
1995,1.12086607973034,126682.303515431
1996,1.26408826390226,136610.191515727
1997,0.962100887099477,157317.005726337
1998,0.889955502822978,152829.103000081
1999,0.987021894935281,162481.596428686
2000,0.840380067219566,140433.278375314
2001,0.81639256271243,130829.78647486
2002,0.751796206764513,150535.884112258
2003,NA,140382.698130773
2004,0.836697216214747,149611.901656714
2005,0.893569575540084,137759.785452915
2006,0.786940816372311,132786.292992532
2007,0.830666990411773,138254.694648661
2008,0.794313511899134,122515.891591063
2009,NA,118800.602538109
2010,NA,85367.9939349095
2011,NA,94373.6895893881
2012,0.988394779679226,124833.508761612
2013,0.888433415122852,113193.209543402
2014,0.698511293712584,93055.297704691
2015,0.650467888566825,96396.3952070655
2016,0.631864766489252,86861.2994531421
2017,0.65400232387751,90863.3868367505
2018,0.520413731108176,81412.5830192718
2019,0.428288960473383,81418.2079379635
2020,0.508134612965909,81183.9291261393
2021,0.678225263627692,83088.737058918
2022,0.614857641012118,83088.7176074009
2023,0.501588594612389,83088.8213432461
2024,0.763624593145617,95552.1345413166
2025,0.886457042259517,95552.3084224455
2026,0.863781547369622,95552.1778306691
2027,0.620576303455777,109884.961530159
2028,0.572244339901759,109884.863245917
2029,0.439904698679221,109885.02105999
2030,0.496904373796949,126367.847479288
2031,0.74716445872973,126367.540182728
2032,0.856148769283911,126367.859169222
2033,0.622342598866043,145322.947689157
2034,0.542071621811196,145323.543944537
2035,0.515844582881109,145323.366663854
2036,0.545759618223033,167119.35767578
2037,0.40520474635344,141985.409412342
2038,0.366716001994901,124444.365754256
2039,0.386471144968943,128330.084769747
2040,0.355869609005948,123357.999047047
2041,0.264333273033703,117934.365154201
2042,0.177784964509839,119271.554052719
2043,0.148866329196861,111324.75528758
2044,0.161960369527593,101745.974360685
2045,0.124541108536333,88037.9570687373
2046,0.0789265534029506,81503.4474078248
2047,0.0628781536304335,78549.7690809516
2048,0.0448929565095873,40827.2635756551
